league,games,avg_gamelength,avg_kills
LPL,805,1948.119254658385,15.04472049689441
LCK,555,1935.7423423423425,14.404504504504505
LCKC,542,1942.1752767527676,15.686346863468634
LAS,489,1817.5398773006134,18.62474437627812
EM,440,1922.1772727272728,15.851136363636364
LJL,374,1814.2807486631016,18.06951871657754
LFL,318,2039.6572327044025,14.614779874213836
LEC,306,2015.4803921568628,13.542483660130719
PRM,303,1949.079207920792,16.577557755775576
PCS,303,1807.5082508250825,19.275577557755774
CD,301,1970.5581395348838,15.649501661129568
AL,293,1908.7883959044368,17.866894197952217
LCP,291,1938.5601374570447,13.922680412371134
NACL,276,1993.9963768115942,15.295289855072463
LVP SL,264,1932.3939393939395,15.06439393939394
NLC,249,1883.8393574297188,17.162650602409638
RL,240,1943.5541666666666,17.28125
TCL,240,1984.7041666666667,16.51875
LFL2,233,1957.098712446352,16.888412017167383
LTA S,222,1972.6936936936936,14.22072072072072
HLL,221,1912.3031674208146,17.73076923076923
LTA N,213,2006.5633802816901,13.97887323943662
ROL,208,1910.4567307692307,16.615384615384617
HC,200,1886.69,19.1325
EBL,191,1803.0994764397906,18.07068062827225
HM,190,1863.0473684210526,16.455263157894738
Asia Master,180,1789.75,17.619444444444444
LPLOL,160,1865.14375,17.953125
NEXO,154,2026.2207792207791,17.217532467532468
LRN,151,1943.8940397350993,17.235099337748345
VCS,141,1887.7446808510638,18.109929078014183
LRS,139,1975.5611510791366,16.424460431654676
LIT,139,1872.021582733813,16.39568345323741
HW,114,1897.2105263157894,17.736842105263158
WLDs,96,1957.3229166666667,15.151041666666666
MSI,80,1954.225,14.25
DCup,75,1958.2933333333333,15.586666666666666
PRMP,73,1785.5616438356165,20.006849315068493
KeSPA,56,1759.517857142857,17.714285714285715
CT,50,1968.4,17.91
ASI,42,1832.2857142857142,17.05952380952381
LTA,40,1993.0,14.9875
FST,35,1873.2571428571428,14.7
EWC,33,1874.2727272727273,14.166666666666666
IC,28,1909.142857142857,17.875
